"styles_OfferCardImageWrapper__5tv5h src","styles_OfferCardRibbonContent__wJbqA href","h-text-bold","styles_OfferCardValue__1Ynov","styles_ndsHeading__phw6r","styles_OfferCardSubTitle__rPZDQ"
"https://target.scene7.com/is/image/Target/GUEST_f27e3043-1417-43b8-b20b-97bf7efe357d?wid=324&hei=324&qlt=45&fmt=jpeg","[object Object]","circle","Buy 1, get 1 50% off","select Pringles chips with Target Circle","Eligible with Target Circle membership"
"https://target.scene7.com/is/image/Target/GUEST_8715c75a-9b35-4515-a8bd-bc44a44e9719?wid=324&hei=324&qlt=45&fmt=jpeg","","","$10.99 sale","select Just Bare frozen foods","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_380e69f7-5f6e-41fa-8973-c64298ddb534?wid=324&hei=324&qlt=45&fmt=jpeg","","","","Buy 2 for $9 select Oreo cookies","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_459fe9a5-9ed2-449b-a82a-79594918c711?wid=324&hei=324&qlt=45&fmt=jpeg","","","","Buy 5 for $25 select Auden™ women's underwear","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_5bc8baae-d916-4e06-a0c0-4485aac694ee?wid=324&hei=324&qlt=45&fmt=jpeg","[object Object]","circle","10% off","select BUBBL'R sparkling water cans with Target Circle","Eligible with Target Circle membership"
"https://target.scene7.com/is/image/Target/GUEST_494e89a4-86ef-4efc-9bd8-14ef76101670?wid=324&hei=324&qlt=45&fmt=jpeg","[object Object]","circle","10% off","Grin oral care items with Target Circle","Eligible with Target Circle membership"
"https://target.scene7.com/is/image/Target/GUEST_311c1828-5acd-46d3-82cd-a979f95f5607?wid=324&hei=324&qlt=45&fmt=jpeg","","","","Buy 2 for $7 select Cheetos snacks","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_ba76e8f6-a0d5-4d2f-9a36-c50b2bab00f2?wid=324&hei=324&qlt=45&fmt=jpeg","","","$2.49 sale","Mission flour tortillas","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_7ff82e24-420a-4dcd-8295-358f5ae885fe?wid=324&hei=324&qlt=45&fmt=jpeg","","","$15.99 sale","up&up™ toilet paper - 30 rolls","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_54a96f18-4dac-4e13-9c31-635fddf005ec?wid=324&hei=324&qlt=45&fmt=jpeg","[object Object]","circle","20% off","select AMOS gummy & chewy candy with Target Circle","Eligible with Target Circle membership"
"https://target.scene7.com/is/image/Target/GUEST_40721ee6-f6ae-4ea7-9408-b53e24441a46?wid=324&hei=324&qlt=45&fmt=jpeg","","","$0.99 sale","select StarKist tuna","Expires March 21"
"https://target.scene7.com/is/image/Target/GUEST_8c70be05-62a6-43fd-b93f-76635ea39578?wid=324&hei=324&qlt=45&fmt=jpeg","[object Object]","circle","Buy 1, get 1 25% off","select Lindt chocolate candy with Target Circle","Eligible with Target Circle membership"
"https://target.scene7.com/is/image/Target/GUEST_6553ac09-21ef-4ed3-82dd-21827bf673b3?wid=324&hei=324&qlt=45&fmt=jpeg","[object Object]","circle","Coupon: $2 off","Dove Deodorant with Target Circle","Eligible with Target Circle membership"
"https://target.scene7.com/is/image/Target/GUEST_e3dae8e6-438d-4698-b313-8c8b78685658?wid=324&hei=324&qlt=45&fmt=jpeg","","","","Buy 3 for $11 select LaCroix sparkling water","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_8e531492-9ec0-4b23-8f63-23c8cf3492b7?wid=324&hei=324&qlt=45&fmt=jpeg","","","15% off","select Albanese gummi bears","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_b63a7ac0-ddda-49af-8a06-a3c19c9aad4a?wid=324&hei=324&qlt=45&fmt=jpeg","","","$3.69 sale","select Good & Gather™ granola","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_d531de3b-835b-4690-8be5-d5fc10674aa8?wid=324&hei=324&qlt=45&fmt=jpeg","","","$1.59 sale","select Minute Rice boxed meals","Expires March 28"
"https://target.scene7.com/is/image/Target/GUEST_86b53055-4d91-4982-a9b9-899a6d959801?wid=324&hei=324&qlt=45&fmt=jpeg","","","$9.99 sale","select Native hair care","Expires April 30"
"https://target.scene7.com/is/image/Target/GUEST_8665e9b4-9777-4285-abcd-c7e601de8def?wid=324&hei=324&qlt=45&fmt=jpeg","","","$9.99 sale","select Zbar granola bars & muffin","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_131e1d1f-5eef-4b79-9663-f33bff4d21a9?wid=324&hei=324&qlt=45&fmt=jpeg","[object Object]","circle","$5 Target GiftCard","when you buy 2 select cat litter with Target Circle","Eligible with Target Circle membership"
"https://target.scene7.com/is/image/Target/GUEST_11ac39c1-c37d-43b7-ab79-c0777138d360?wid=324&hei=324&qlt=45&fmt=jpeg","","","30% off","select pantry foods & snacks","Expires April 11"
"https://target.scene7.com/is/image/Target/GUEST_77cf593c-b8bb-4b22-9568-7c25279f1927?wid=324&hei=324&qlt=45&fmt=jpeg","[object Object]","circle","10% off","select Taco Bell kits, seasonings, sauces & dips with Target Circle","Eligible with Target Circle membership"
"https://target.scene7.com/is/image/Target/GUEST_ae85bd8c-5259-45b2-9ddb-23985b6bd7f5?wid=324&hei=324&qlt=45&fmt=jpeg","[object Object]","circle","10% off","select Siete food items with Target Circle","Eligible with Target Circle membership"
"https://target.scene7.com/is/image/Target/GUEST_44cee824-253e-44cb-b067-b2c1558233bd?wid=324&hei=324&qlt=45&fmt=jpeg","[object Object]","circle","10% off","St. Ives, Pond's, Noxzema skincare items with Target Circle","Eligible with Target Circle membership"
"https://target.scene7.com/is/image/Target/GUEST_d15aaf3f-b874-405e-ae29-6607f365bece?wid=324&hei=324&qlt=45&fmt=jpeg","","","$4.49 sale","Pure Life purified water bottles","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_3dfffe27-c4cd-4b23-a09d-6a868dba95e0?wid=324&hei=324&qlt=45&fmt=jpeg","[object Object]","circle","Buy 1, get 1 25% off","select Good & Gather™ nuts with Target Circle","Eligible with Target Circle membership"
"https://target.scene7.com/is/image/Target/GUEST_b1c18c63-27bd-4663-8b8d-68edb95ca1a5?wid=324&hei=324&qlt=45&fmt=jpeg","","","20% off","select Saltair beauty products","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_90413360-f7e5-45c4-8797-d72482e22648?wid=324&hei=324&qlt=45&fmt=jpeg","","","$4.49 sale","select Totino's frozen pizza rolls","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_b0422569-14af-4147-b86c-8261ee144fc6?wid=324&hei=324&qlt=45&fmt=jpeg","","","30% off","select coffee & breakfast foods","Expires April 11"
"https://target.scene7.com/is/image/Target/GUEST_e50296fc-b0d9-4eac-be12-1e35d4dfc2c8?wid=324&hei=324&qlt=45&fmt=jpeg","[object Object]","circle","Coupon: $1 off","BAND-AID with Target Circle","Eligible with Target Circle membership"
"https://target.scene7.com/is/image/Target/GUEST_e3b74f88-b786-4006-9cfc-b87dfb12523d?wid=324&hei=324&qlt=45&fmt=jpeg","","","$3.49 sale","select Orbit sugar-free gums","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_740ba429-25e8-49a0-944a-3169be737c70?wid=324&hei=324&qlt=45&fmt=jpeg","","","","Buy 2 for $3 select spring water - 3L","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_de27e53e-8dc7-4c98-ab33-30ed853e2331?wid=324&hei=324&qlt=45&fmt=jpeg","","","","Buy 5 for $10 select OLIPOP soda","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_b2fb11b8-3c0f-40ac-a42c-0909c7bdb273?wid=324&hei=324&qlt=45&fmt=jpeg","","","$6 sale","select kids' books","Expires April 4"
"https://target.scene7.com/is/image/Target/GUEST_54c55d79-b85f-4907-beb9-73af188ca796?wid=324&hei=324&qlt=45&fmt=jpeg","","","","Buy 2 for $8 select Oikos Triple Zero Greek yogurt","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_fce79e6a-3bf4-40b6-a0a5-c64fc808a0cd?wid=324&hei=324&qlt=45&fmt=jpeg","","","$24.99 sale","select Huggies diapers","Expires March 14"
"https://target.scene7.com/is/image/Target/GUEST_491fbc72-6883-41de-a6a8-782441a1e632?wid=324&hei=324&qlt=45&fmt=jpeg","[object Object]","circle","$5.49","select Good & Gather™ frozen meatballs  with Target Circle","Eligible with Target Circle membership"
"https://target.scene7.com/is/image/Target/GUEST_3fee51ad-5a0e-4a04-a710-01143b7da09f?wid=324&hei=324&qlt=45&fmt=jpeg","","","$4.99 sale","select Bonne Maman preserves","Expires March 28"
