"product_link","discount_percentage","product_image","product_name_plus_year","new_price","snize-visually-hidden","old_price_before_discount"
"https://winechateau.com/collections/wines/products/n-n-chard-truchard-2021-6pk","14% off","https://cdn.shopify.com/s/files/1/1780/9427/products/NN-CHARD-TRUCHARD-2021_large.jpg?v=1746071580","N&N CHARD TRUCHARD 2021","$41.97","Old price","$48.97"
"https://winechateau.com/collections/wines/products/nicolas-chardonnay","15% off","https://cdn.shopify.com/s/files/1/1780/9427/files/NICOLAS-CHARDONNAY_large.jpg?v=1746124599","NICOLAS CHARDONNAY","$10.97","Old price","$12.97"
"https://winechateau.com/collections/wines/products/nicolas-pinot-grigio","15% off","https://cdn.shopify.com/s/files/1/1780/9427/products/NICOLAS-PINOT-GRIGIO_large.jpg?v=1746071666","NICOLAS PINOT GRIGIO","$10.97","Old price","$12.97"
"https://winechateau.com/collections/wines/products/odem-mountain-odem-1060-red-cab-sauv-merlot-cab-franc-750-ml","13% off","https://cdn.shopify.com/s/files/1/1780/9427/products/ODEM-MOUNTAIN-ODEM-1060-RED-CAB-SAUV-MERLOT-CAB-FRANC-750-ML_large.jpg?v=1746071720","ODEM MOUNTAIN  ODEM 1060 RED- CAB SAUV MERLOT CAB FRANC 750 ML","$88.97","Old price","$101.97"
"https://winechateau.com/collections/wines/products/oberon-cabernet-sauvignon-2019","29% off","https://cdn.shopify.com/s/files/1/1780/9427/files/oberon-cabernet-sauvignon-napa-county-2023-rating-bottle_large.png?v=1771606800","OBERON CABERNET SAUVIGNON NAPA COUNTY 2023","$24.99","Old price","$34.97"
"https://winechateau.com/collections/wines/products/oberon-cabernet-sauvignon-2020","29% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Oberon-Cabernet-Sauvignon-Paso-Robles-2021_large.jpg?v=1746124625","Oberon Cabernet Sauvignon Paso Robles 2022","$19.99","Old price","$27.97"
"https://winechateau.com/collections/wines/products/obikwa-pinot-grigio","10% off","https://cdn.shopify.com/s/files/1/1780/9427/products/OBIKWA-PINOT-GRIGIO_large.jpg?v=1746071711","OBIKWA PINOT GRIGIO","$8.97","Old price","$9.97"
"https://winechateau.com/collections/wines/products/odem-mountain-odem-1060-cabernet-franc-organic-750ml","13% off","https://cdn.shopify.com/s/files/1/1780/9427/products/ODEM-MOUNTAIN-ODEM-1060-CABERNET-FRANC-ORGANIC-750ML_large.jpg?v=1746071719","ODEM MOUNTAIN  ODEM 1060 CABERNET FRANC ORGANIC 750ML","$61.97","Old price","$70.97"
"https://winechateau.com/collections/wines/products/opici-burgundy-6pk","7% off","https://cdn.shopify.com/s/files/1/1780/9427/products/OPICI-BURGUNDY_large.webp?v=1746071740","OPICI BURGUNDY-","$12.97","Old price","$13.97"
"https://winechateau.com/collections/wines/products/our-daily-red-red-wine-bib","9% off","https://cdn.shopify.com/s/files/1/1780/9427/products/OUR-DAILY-RED-RED-WINE-BIB_large.jpg?v=1746071816","OUR DAILY RED RED WINE BIB","$19.97","Old price","$21.97"
